┌────────────┬───────────────────────┐
│    date    │  moving_7d_avg_prcp   │
│    date    │        double         │
├────────────┼───────────────────────┤
│ 2013-07-01 │                       │
│ 2014-12-02 │   0.10571428571428572 │
│ 2014-12-03 │   0.27999999999999997 │
│ 2014-12-04 │    0.2857142857142857 │
│ 2014-12-05 │   0.27285714285714285 │
│ 2014-12-06 │    0.6242857142857143 │
│ 2014-12-07 │    0.6271428571428572 │
│ 2014-12-08 │    0.6285714285714287 │
│ 2014-12-09 │    0.5557142857142857 │
│ 2014-12-10 │    0.3814285714285714 │
│ 2014-12-11 │    0.3757142857142857 │
│ 2014-12-12 │    0.3757142857142857 │
│ 2014-12-13 │   0.04142857142857143 │
│ 2014-12-14 │  0.032857142857142856 │
│ 2014-12-15 │   0.03142857142857143 │
│ 2014-12-16 │   0.03142857142857143 │
│ 2014-12-17 │   0.03142857142857143 │
│ 2014-12-18 │   0.03142857142857143 │
│ 2014-12-19 │  0.037142857142857144 │
│ 2014-12-20 │   0.03142857142857143 │
│ 2014-12-21 │   0.14285714285714285 │
│ 2014-12-22 │   0.15571428571428572 │
│ 2014-12-23 │   0.15571428571428572 │
│ 2014-12-24 │   0.15571428571428572 │
│ 2014-12-25 │                  0.17 │
│ 2014-12-26 │    0.1642857142857143 │
│ 2014-12-27 │   0.14142857142857143 │
│ 2014-12-28 │  0.027142857142857142 │
│ 2014-12-29 │  0.014285714285714287 │
│ 2014-12-30 │  0.014285714285714287 │
│ 2014-12-31 │    0.1157142857142857 │
│ 2015-01-01 │    0.1442857142857143 │
│ 2015-01-02 │    0.1442857142857143 │
│ 2015-01-03 │   0.15142857142857144 │
│ 2015-01-04 │   0.15142857142857144 │
│ 2015-01-05 │   0.15142857142857144 │
│ 2015-01-06 │   0.16142857142857145 │
│ 2015-01-07 │                  0.06 │
│ 2015-01-08 │  0.017142857142857144 │
│ 2015-01-09 │   0.06857142857142857 │
│ 2015-01-10 │   0.06142857142857143 │
│ 2015-01-11 │   0.06142857142857143 │
│ 2015-01-12 │   0.06142857142857143 │
│ 2015-01-13 │   0.05142857142857143 │
│ 2015-01-14 │   0.05142857142857143 │
│ 2015-01-15 │    0.3514285714285714 │
│ 2015-01-16 │                   0.3 │
│ 2015-01-17 │                   0.3 │
│ 2015-01-18 │                   0.3 │
│ 2015-01-19 │                   0.3 │
│ 2015-01-20 │                   0.3 │
│ 2015-01-21 │    0.4028571428571429 │
│ 2015-01-22 │   0.10285714285714286 │
│ 2015-01-23 │   0.17142857142857143 │
│ 2015-01-24 │   0.22285714285714286 │
│ 2015-01-25 │   0.22285714285714286 │
│ 2015-01-26 │   0.22571428571428573 │
│ 2015-01-27 │    0.2342857142857143 │
│ 2015-01-28 │   0.13142857142857142 │
│ 2015-01-29 │    0.1357142857142857 │
│ 2015-01-30 │   0.21285714285714286 │
│ 2015-01-31 │   0.16142857142857145 │
│ 2015-02-01 │   0.16142857142857145 │
│ 2015-02-02 │   0.15857142857142859 │
│ 2015-02-03 │                  0.15 │
│ 2015-02-04 │   0.15285714285714286 │
│ 2015-02-05 │   0.14857142857142858 │
│ 2015-02-06 │  0.015714285714285715 │
│ 2015-02-07 │  0.017142857142857144 │
│ 2015-02-08 │  0.017142857142857144 │
│ 2015-02-09 │  0.017142857142857144 │
│ 2015-02-10 │  0.017142857142857144 │
│ 2015-02-11 │  0.017142857142857144 │
│ 2015-02-12 │  0.017142857142857144 │
│ 2015-02-13 │  0.004285714285714286 │
│ 2015-02-14 │  0.022857142857142857 │
│ 2015-02-15 │  0.022857142857142857 │
│ 2015-02-16 │  0.022857142857142857 │
│ 2015-02-17 │  0.022857142857142857 │
